链接,图片链接,标题,价格,人数,评论人数,景点,供应商,时间,出发地/旅行团/著名景点,标签
http://www.tuniu.com/tour/210457472,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,<海洋极光号-华人包船-南极+南美四国30日游>12月出发/中文服务/探戈舞/牛排/伊瓜苏瀑布/玛瑙斯/复活节岛/马丘比丘,￥132800,100%,18,2人,",乌斯怀亚海洋博物馆，火地岛乌斯怀亚仁慈圣母教堂，巴西利亚大教堂，阿根廷国家历史博物馆，阿根廷国家装饰艺术博物馆，巴西广场，乌斯怀亚监狱和海事博物馆，圣安娜巴西利亚教堂，巴西利亚酒吧，阿根廷国家图书馆",美洲汇,12月1日,",北京出发| 北京成团| 南美4国深度 马丘比丘 复活节岛 伊瓜苏 火地岛 大地画 ",自然遗产
http://www.tuniu.com/tour/210136969,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,[国庆]<东欧全景-克罗地亚+斯洛文尼亚14日游>湖区酒店，阿尔卑斯雪山，温泉体验，三顿特色餐，探秘小巴尔干，神奇溶洞，美泉宫，布拉格城堡,￥20356,97%,32,2人,",瓦维尔宫，查理大桥，布拉迪斯拉发城堡，提恩教堂，普利特维采湖群国家公园，美泉宫，城堡广场，布拉格城堡",中青旅行,9月17日,",北京出发| 北京成团| 华沙古城 克拉科夫 布莱德湖 不走回头路 度假养生 ",湖光山色
http://www.tuniu.com/tour/210137454,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,[国庆]<法国+瑞士+意大利12日游>蜜月首选，厦门往返，福州指纹，25人精致团，含服务费，四星，法南蔚蓝海岸，戛纳，意大利五渔村,￥15767,95%,22,4人,",琉森（卢塞恩），协和广场，艾克斯老城，尼斯罗斯柴尔德花园别墅，圣马可教堂，新天鹅堡，摩纳哥大教堂，琉森湖，里昂老城区，塞纳河",翔龙万里行,中秋，9月24日，10月22日,",厦门出发| 厦门成团| 福州指纹 法国南部 25人团 五渔村 含服务费 特色餐 ",湖光山色有自由活动
http://www.tuniu.com/tour/210137080,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,[国庆]<英格兰-苏格兰-威尔士10日游>全含，精选4星及城堡酒店，皇家造币厂，丘吉尔庄园，湖区游船复古火车，英式下午茶龙虾餐，水上伯顿，巨石阵,￥21253,92%,40,6人,",大英博物馆，圣詹姆斯公园，皇家新月楼，温莎城堡，白金汉宫，巨石阵，巴斯修道院，西敏寺大教堂，苏格兰国会大厦，伦敦塔桥",领先旅游,国庆，9月26日，10月1日，10月22日,",北京出发| 北京成团| 英伦三岛全景 自然遗产巡礼 双点优选航班 伦敦3晚连住 27人团组 漫...",自然遗产纯玩无购物
http://www.tuniu.com/tour/210138326,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,<俄罗斯贝加尔湖8日游>奥利洪岛，环湖小火车，塔利茨木制民族博物馆，直飞只需3小时,￥9504,90%,47,13人,",贝加尔湖",九州风行,国庆，9月19日，9月26日，9月29日，10月3日,",北京出发| 伊尔库茨克成团| 贝加尔湖 特色酒店 直飞 环湖小火车",湖光山色
http://www.tuniu.com/tour/210134288,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,<圣彼得堡+莫斯科8日游>克里姆林宫、新圣女公墓、涅瓦河游船、普希金城叶卡捷琳娜花园和宫殿、俄式大餐和全程服务费,￥13991,100%,26,5人,",红场，黑海",洲际旅游,9月16日，10月10日,",北京出发| 北京成团| 四大庄园 五星航空",有自由活动
http://www.tuniu.com/tour/210135701,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,[春节]<U悦系列-芬兰深度+挪威8日游>20人小团，追寻北极光，升级1晚玻璃屋，桑普号破冰船，圣诞老人村，鹿拉雪橇，帝王蟹大餐，含WiFi,￥37590,91%,38,5人,",萨利色尔卡滑雪小镇，岩石教堂，芬兰，哈士奇农场，圣诞老人村，桑普号破冰船，北极圈标线，拉普兰省博物馆，冰雪城堡",众信旅游,1月25日，2月7日,",上海出发| 上海成团| 极光之旅 全程WIFI 鹿拉雪橇 圣诞老人村 破冰船 冰雪城堡 ",人文探索免费WiFi
http://www.tuniu.com/tour/210615427,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,<伊尔库茨克贝加尔湖+奥利洪岛8日游>上海正点直飞，1天自由活动，特维扬卡小镇，29人精品小团,￥7038,92%,49,9人,",贝加尔湖博物馆，奥利洪岛，贝加尔湖",乐逸达,中秋，国庆，8月23日，9月10日，9月17日，9月20日，9月24日，10月1日，10月8日，10月15日,",上海出发| 上海成团",湖光山色有自由活动
http://www.tuniu.com/tour/210527401,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,<德法瑞意11-12日游>尾货/五星航空/全含/瑞士少女峰/双宫/双游船/1晚5星酒店/部分特色酒店/免费WIFI/部分购物村/部分酒庄,￥12602,94%,712,118人,",叹息桥，协和广场，圣马可教堂，新天鹅堡，圣母百花大教堂，香榭丽舍大道，廊桥水塔，罗马斗兽场，卢浮宫，埃菲尔铁塔",世界风情,国庆，9月11日，9月25日，10月1日，10月9日，10月23日,",上海出发| 南京成团| 金色列车 全程热早 酒店升级 ",null
http://www.tuniu.com/tour/210136565,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,<欧洲-德国-法国-瑞士-意大利11日游>国航去程华东联运，3/4星住宿 卢浮宫 新天鹅堡入内参观，游览铁力士雪山，境外WIFI,￥10679,94%,47,7人,",新天鹅堡，罗马斗兽场，卢浮宫",顺安之星,9月17日，10月14日，10月28日，11月7日，11月16日，11月23日，12月7日,",上海出发| 北京成团",null
http://www.tuniu.com/tour/210139294,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,[国庆]<西班牙-葡萄牙13日游>全含0自费，四五星，高迪建筑，米其林推荐餐，欧洲AVE，伯纳乌球场，人骨教堂，奥莱，弗拉明戈，wifi,￥17408,94%,553,125人,",辛特拉宫，奎尔公园，马德里王宫，龙达，罗卡角",全景旅游,国庆，10月3日，10月22日，10月28日,",北京出发| 北京成团| 欧铁AVE 奥比多斯 巴塞游船 球迷盛宴 高迪建筑 旅游局推荐 ",可异地按指纹无自费
http://www.tuniu.com/tour/210135202,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,<德国+法国+瑞士+意大利11日游>4到5全含，第二人立减7000，双宫含讲解，贡多拉，新天鹅堡，塞纳河游船，含游荷兰比利时，wifi,￥13999,91%,191,40人,",国际奥委会总部，琉森（卢塞恩），金融街，勃朗特快车，圣玛利亚广场，里昂老城，圣马可教堂，马特洪峰，加尔达湖，塞纳河",寰宇旅游,10月14日，10月21日，10月28日，11月4日，11月11日，11月18日，11月25日，12月2日，12月9日，12月16日，12月23日，12月30日,",上海出发| 上海成团| 东航直飞 WIFI 六菜一汤 比利时 贡多拉 卢浮宫 ",null
http://www.tuniu.com/tour/210648461,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,[国庆]<俄罗斯贝加尔湖5或6日游>天津飞，含京津大巴，奥利洪岛，胡日尔镇，塔里茨民族建筑博物馆，体验西伯利亚最美蓝眼睛，特色俄餐,￥4144,99%,37,4人,",贝加尔湖海洋馆，塔里茨博物馆，贝加尔湖",度度假,中秋，国庆，8月25日，8月28日，8月30日，9月1日，9月4日，9月6日，9月8日，9月11日，9月13日，9月15日，9月18日，9月20日，9月22日，9月25日，10月2日,",天津出发| 天津成团| 免签 休息度假 名胜古迹 贝加尔湖 避暑胜地 ",湖光山色
http://www.tuniu.com/tour/210140941,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,<瑞士10日游>中瑞旅游年推荐，铁力士雪山，日内瓦游船，欧洲6大绝美小镇，奶酪火锅，楚格品酒，琉森一天自由时光，列支敦士登纪念邮戳一枚,￥15805,94%,172,29人,",列支敦士登邮局，琉森（卢塞恩），米兰大教堂，铁力士山，施皮茨小镇，伯尔尼大教堂，日内瓦湖，圣母大教堂",全景旅游,9月16日,",北京出发| 北京成团| 铁力士雪山 日内瓦湖游船 楚格屁品酒 ",null
http://www.tuniu.com/tour/210140137,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,[国庆]<西欧9国12-13日游>广深集中 南航可联运  入内卢浮宫  浪漫法国 度假胜地瑞士 巴黎住两晚  一次走遍不留遗憾,￥7999,95%,120,35人,",叹息桥，协和广场，罗马斗兽场，圣马可广场，圣母大教堂，君士坦丁凯旋门，巴黎圣母院，米兰大教堂，圣母百花大教堂，图恩湖",成功之旅,9月15日，10月26日，11月16日，12月7日,",深圳出发| 长沙成团| 卢浮宫 登蒙帕纳斯 法兰克福 布鲁塞尔 卢森堡 ",城市观光有自由活动
http://www.tuniu.com/tour/210454975,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,[中秋]<捷克+匈牙利+奥地利+德国或波兰12-13日游>一价全含，全程4星，特色餐，维也纳音乐会布拉格游船，2整天自由活动，wifi,￥15840,92%,27,4人,",查理大桥，金色大厅，华沙老城，英雄广场，布拉格城堡，维也纳国家歌剧院",全景旅游,9月15日，12月1日,",成都出发| 成都成团| 布拉格特色餐 克鲁姆洛夫 斯洛文尼亚 波兰 ",湖光山色
http://www.tuniu.com/tour/210223371,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,<俄罗斯莫斯科-圣彼得堡8日游>俄航四飞，全四星，内陆加飞，无夜火车，金银环小镇，冬宫，夏宫花园，特色餐，9/1班期送1580元进口蜜蜡一串,￥10320,95%,42,6人,",阿尔巴特大街，基督救世主大教堂，夏宫，古姆莫斯科国立百货商场，红场，青铜骑士，滴血大教堂，涅瓦大街，克里姆林宫，冬宫",悦享假期,9月1日，9月15日,",上海出发| 上海成团| 俄璀璨双城 金环小镇 冬宫 夏宫花园 ",人文探索
http://www.tuniu.com/tour/210135796,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,<俄罗斯-莫斯科+圣彼得堡8日游>深起港止，全程四飞，拒绝夜火车，全程5星住宿，木屋别墅，克里姆林宫入内，五星游船泛舟，郊外烧烤,￥14399,98%,31,5人,",瓦西里大教堂，列宁山，夏宫，彼得保罗要塞，红场，青铜骑士，滴血大教堂，克里姆林宫，冬宫，喀山大教堂",享游俄罗斯,9月25日，9月29日,",深圳出发| 深圳成团| 中俄美食搭配 感受苏联文化 探索战斗民族 游览经典景点 ",有自由活动
http://www.tuniu.com/tour/210139197,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,[国庆]<英西欧10国14日游>深圳起止  2签证1次指纹 伦敦大英博物馆 意大利3大名城 入内巴黎卢浮宫 蒙帕纳斯 风车村,￥14368,92%,205,33人,",巴黎圣母院，海德堡老桥，温莎城堡，白金汉宫，琉森湖，埃菲尔铁塔，英国议会大厦，巴黎迪士尼乐园，苏黎世湖，海德堡旧城区",成功之旅,国庆，9月27日，9月28日，10月2日，10月24日，11月22日，12月26日,",深圳出发| 深圳成团| 游览苏黎世 滴滴湖 海德堡 瑞士入住两晚 巴黎圣母院 ",自然遗产有自由活动
http://www.tuniu.com/tour/210153295,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,<英国爱尔兰-西班牙葡萄牙-法国南部18日游>成都荷航 大英博物馆 奎尔公园 托莱多 罗卡角 热门线路联线之旅 2国签证一天搞定 20人团,￥26234,92%,43,9人,",大英博物馆，温莎城堡，白金汉宫，马德里王宫，罗卡角，伦敦塔桥，英国议会大厦，爱丁堡城堡，大本钟，奎尔公园",寰宇旅游,10月8日，11月5日,",成都出发| 成都成团| 英伦风情 西葡风韵 蔚蓝海岸 温莎古堡 一次办理签证 经典线路 ",null
http://www.tuniu.com/tour/210520272,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,<意大利-巴尔干五国15晚17日游>意大利、塞尔维亚、波黑、黑山、克罗地亚、斯洛文尼亚、蓝洞、一次尽享文艺复兴之地、巴尔干风情,￥27277,98%,13,3人,",那不勒斯皇宫，塞尔维亚国家博物馆，普利特维采湖群国家公园，那不勒斯国家考古博物馆，多米尼加修道院，杜布罗夫尼克市，布莱德城堡，卡莱梅格丹城堡，杜布罗夫尼克缆车，庞贝古城",世界纵横行,9月16日，10月21日,",上海出发| 上海成团| 纯玩 ",自然遗产无自费
http://www.tuniu.com/tour/210134736,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,[圣诞]<西班牙+葡萄牙10日游>0购物/含服务费/优选法国航空公司/精选四星酒店,￥10500,91%,47,7人,",米哈斯，马德里西班牙广场，哥伦布纪念广场，伯纳乌球场，罗卡角，里斯本自由大道，龙达新桥，隆达斗牛场，奎尔公园，马德里皇宫",奇异假期,11月13日，11月21日，12月4日，12月25日，1月8日,",北京出发| 北京成团",海滨/岛屿
http://www.tuniu.com/tour/210140979,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,<西班牙+法国+瑞士+意大利+德国13日游>25人，全国联运，巴塞罗那，新天鹅堡，铁力士雪山，戛纳，尼斯，境外WIFI,￥19224,97%,28,6人,",叹息桥，新天鹅堡，琉森湖，罗马斗兽场，卢浮宫，凡尔赛宫，埃菲尔铁塔，佛罗伦萨市政厅广场，黄金屋顶，古罗马废墟",顺安之星,10月20日,",上海出发| 上海成团",免费WiFi
http://www.tuniu.com/tour/210155774,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,[国庆]<德国-法国-瑞士-意大利4国10-15日游>多航司，含导服费，自费礼包，1晚特色酒店，卢浮宫，塞纳河游船，新天鹅堡，花宫娜WIFI,￥9098,100%,18,5人,",琉森（卢塞恩），叹息桥，协和广场，慕尼黑新市政厅，蒙帕纳斯大厦，圣马可教堂，罗马斗兽场，埃兹，卢克索方尖碑，塞纳河",全景旅游,中秋，9月12日，9月23日，10月21日,",成都出发| 巴黎省成团| 国航直飞 可联运 可异地录指纹 ",有自由活动
http://www.tuniu.com/tour/210133643,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,[国庆]<德国+法国+瑞士+意大利11-12日游>福/厦出发，福州录指纹，全含0自费，欧洲铁力士雪山，巴黎浪漫双宫，双游船，新天鹅堡，WiFi,￥11575,94%,29,8人,",铁力士山，新天鹅堡，佛罗伦萨圣十字广场，凡尔赛宫，威尼斯大运河",全景旅游,国庆，9月25日，10月4日，10月9日，10月10日，10月23日,",福州出发| 福州成团| 欧洲雪山 双宫双游船 童话国王 水上法拉利 增值服务 ",湖光山色可异地按指纹有自由活动
http://www.tuniu.com/tour/210462321,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,[国庆]<希腊一地9-11日游>30人小团/杭州出发/内陆段加飞/4至5星/2晚悬崖酒店/OIA小镇含接送/充足自由活动/特色餐,￥14371,95%,547,84人,",卡兰巴卡，宙斯神殿，希腊国会大厦，米克诺斯岛，圣托里尼岛，天堂海滩，红沙滩，梅黛奥拉，帕特农神庙，德尔斐考古遗址",全景旅游,9月25日，10月23日,",杭州出发| 杭州成团| wifi 伊亚日落 圣托里尼 购物村",海滨/岛屿有自由活动无自费
http://www.tuniu.com/tour/210137020,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,<俄罗斯-土耳其连线15日游>棉花堡，伊斯坦布尔，番红花城，卡帕多奇亚，以弗所古城，特洛伊，蓝色清真寺，圣彼得堡冬宫，夏宫花园，莫斯科红场,￥11961,93%,809,105人,",地下水宫，夏宫，红场，冬宫，棉花堡，特洛伊古城，莫斯科地铁，番红花城，乌奇萨要塞，卡帕多奇亚",金色俄罗斯,国庆，10月4日，10月10日,",上海出发| 上海成团| 冬宫 夏宫花园 莫斯科地铁 棉花堡 卡帕多气压 番红花城 ",有自由活动
http://www.tuniu.com/tour/210181338,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,<德国+法国+瑞士+意大利12-13日游>高性价比，双点进出，全程无强制消费，新天鹅堡，比萨斜塔，卢浮宫，水城威尼斯，因特拉肯，巴黎自由活动,￥5999,95%,42,7人,",君士坦丁凯旋门，叹息桥，巴黎圣母院，圣马可教堂，新天鹅堡，琉森湖，圣母百花大教堂，罗马斗兽场，卢浮宫，埃菲尔铁塔",优耐德旅游,11月29日，12月13日,",北京出发| 北京成团| 特价欧洲 三四星酒店 自由活动 ",精致小团(4-8人)
